roll,pitch,yaw
0.970695,-0.085304,-1.96333
0.970213,-0.0861342,-1.96406
0.969511,-0.0884444,-1.96391
0.969029,-0.0902988,-1.96414
0.969385,-0.0910679,-1.96537
0.969907,-0.0927726,-1.96514
0.972051,-0.0885531,-1.96616
0.974421,-0.0950649,-1.96659
0.974478,-0.092513,-1.9673
0.974732,-0.0940552,-1.96724
0.972872,-0.097704,-1.96711
0.970597,-0.0972824,-1.96855
0.967945,-0.100041,-1.96802
0.965339,-0.0979419,-1.96735
0.965179,-0.0973401,-1.96599
0.964544,-0.098933,-1.96471
0.964784,-0.0980834,-1.96518
0.964233,-0.0989486,-1.96513
0.96323,-0.0979028,-1.96427
0.962666,-0.0977726,-1.9624
0.960634,-0.0987541,-1.96161
0.957849,-0.100183,-1.96109
0.956196,-0.102873,-1.96193
0.955464,-0.102597,-1.96297
0.95614,-0.103228,-1.96311
0.956415,-0.103211,-1.9631
0.956939,-0.101975,-1.96386
0.957409,-0.102688,-1.96426
0.958365,-0.102304,-1.96481
0.959362,-0.103957,-1.96473
0.959116,-0.1041,-1.96592
0.95948,-0.103884,-1.96728
0.95991,-0.10675,-1.96857
0.961115,-0.1075,-1.97034
0.962997,-0.108884,-1.97196
0.964087,-0.109902,-1.97356
0.965374,-0.110819,-1.9739
0.965949,-0.112419,-1.97393
0.966143,-0.112716,-1.97456
0.966303,-0.115262,-1.97526
0.966714,-0.118735,-1.97696
0.966023,-0.120445,-1.97816
0.964657,-0.120926,-1.97946
0.9638,-0.12172,-1.97943
0.963106,-0.122932,-1.97992
0.96346,-0.123353,-1.9807
0.963883,-0.124064,-1.98188
0.964442,-0.123049,-1.98313
0.964375,-0.123353,-1.98359
0.963826,-0.122437,-1.98562
0.962888,-0.12254,-1.98766
0.962899,-0.122312,-1.98903
0.962921,-0.122774,-1.98965
0.965477,-0.126065,-1.99304
0.965838,-0.131828,-1.99675
0.966565,-0.145011,-2.00382
0.950152,-0.179745,-2.01353
0.923758,-0.211099,-2.02561
0.901559,-0.254581,-2.05176
0.87527,-0.312002,-2.09092
0.863206,-0.371642,-2.14136
0.847055,-0.464462,-2.18694
0.845886,-0.547258,-2.22476
0.827402,-0.616094,-2.23717
0.842237,-0.653314,-2.26874
0.847438,-0.687962,-2.27875
0.854649,-0.698442,-2.28055
0.856439,-0.712908,-2.28517
0.861208,-0.723849,-2.28986
0.863648,-0.731495,-2.29066
0.864501,-0.740055,-2.29265
0.862278,-0.745581,-2.2952
0.857073,-0.765852,-2.29903
0.835856,-0.80339,-2.30523
0.820633,-0.825928,-2.31442
0.814352,-0.834157,-2.32464
0.820024,-0.839579,-2.32696
0.820532,-0.845,-2.3287
0.818913,-0.845946,-2.32985
0.818768,-0.845838,-2.32749
0.816696,-0.84729,-2.32392
0.814235,-0.845564,-2.32127
0.813773,-0.845289,-2.31931
0.811299,-0.844247,-2.31836
0.812198,-0.841779,-2.31787
0.811616,-0.843426,-2.31597
0.809923,-0.843416,-2.3134
0.807121,-0.842532,-2.30989
0.804197,-0.84295,-2.3063
0.8004,-0.841914,-2.30322
0.795405,-0.841548,-2.29974
0.790967,-0.840194,-2.29555
0.778369,-0.84356,-2.28499
0.746091,-0.847887,-2.25977
0.672044,-0.85892,-2.21151
0.624642,-0.837766,-2.18401
0.524734,-0.842706,-2.1097
0.506903,-0.821123,-2.10314
0.452224,-0.817945,-2.06142
0.437056,-0.805391,-2.0506
0.424237,-0.812778,-2.03667
0.411522,-0.828414,-2.02208
0.400816,-0.836794,-2.00744
0.379945,-0.840362,-1.99249
0.360058,-0.84191,-1.98156
0.3311,-0.846554,-1.9535
0.320716,-0.8441,-1.94101
0.299141,-0.849887,-1.91928
0.28793,-0.850237,-1.90766
0.274544,-0.85222,-1.89436
0.256555,-0.862931,-1.87717
0.241463,-0.865398,-1.86421
0.221455,-0.869697,-1.84807
0.205179,-0.871026,-1.83471
0.191416,-0.874264,-1.82377
0.182873,-0.876953,-1.81898
0.174142,-0.877901,-1.81181
0.167309,-0.878303,-1.80446
