roll,pitch,yaw
0.498327,-0.508938,-1.95251
0.499374,-0.509186,-1.95274
0.503736,-0.508382,-1.9562
0.505211,-0.509759,-1.95241
0.506988,-0.509854,-1.95138
0.509014,-0.509614,-1.95354
0.507972,-0.510374,-1.95359
0.489323,-0.505303,-1.93635
0.437744,-0.476202,-1.86923
0.373421,-0.359914,-1.76701
0.310076,-0.122161,-1.68429
0.186536,0.00843082,-1.52426
0.177457,0.110087,-1.45106
0.25024,0.109932,-1.48103
0.261271,0.109744,-1.47782
0.267157,0.101972,-1.46248
0.275452,0.0981345,-1.47298
0.274099,0.085538,-1.49195
0.272125,0.0545976,-1.54882
0.273903,0.0121268,-1.59968
0.285784,-0.087159,-1.68242
0.363834,-0.207484,-1.80447
0.409071,-0.321003,-1.89416
0.412654,-0.410469,-1.92768
0.423562,-0.483246,-1.95518
0.470487,-0.560878,-2.0182
0.545729,-0.628387,-2.11832
0.601417,-0.671731,-2.20558
0.644953,-0.697919,-2.26645
0.684579,-0.703508,-2.29622
0.735096,-0.689607,-2.30935
0.813928,-0.646617,-2.33523
0.937263,-0.555564,-2.38386
1.03532,-0.464628,-2.42802
1.149,-0.338465,-2.47192
1.23853,-0.232783,-2.50908
1.30981,-0.162811,-2.51488
1.38601,-0.0855816,-2.54145
1.47036,-0.0349894,-2.56167
1.54016,-0.00871355,-2.56369
1.62828,0.0214125,-2.55884
1.69771,0.0569779,-2.54601
1.75606,0.0842302,-2.5292
1.77722,0.0823394,-2.51031
1.78072,0.0878367,-2.50512
1.7433,0.0712169,-2.49339
1.63304,0.0193455,-2.46568
1.45515,-0.031305,-2.39446
1.29749,-0.132444,-2.27642
1.18983,-0.193116,-2.1603
1.09556,-0.252833,-2.06342
1.00926,-0.307739,-2.03013
0.925413,-0.365385,-1.99995
0.779107,-0.440085,-1.91925
0.659356,-0.489979,-1.85191
0.538884,-0.52757,-1.8259
0.425055,-0.548293,-1.80795
0.287244,-0.568265,-1.75568
0.129151,-0.566544,-1.66647
0.018117,-0.576678,-1.61334
-0.149873,-0.581268,-1.54016
-0.347363,-0.593045,-1.40819
