roll,pitch,yaw,roll_next,pitch_next,yaw_next
0.498327,-0.508938,-1.95251,0.499374,-0.509186,-1.95274
0.499374,-0.509186,-1.95274,0.503736,-0.508382,-1.9562
0.503736,-0.508382,-1.9562,0.505211,-0.509759,-1.95241
0.505211,-0.509759,-1.95241,0.506988,-0.509854,-1.95138
0.506988,-0.509854,-1.95138,0.509014,-0.509614,-1.95354
0.509014,-0.509614,-1.95354,0.507972,-0.510374,-1.95359
0.507972,-0.510374,-1.95359,0.489323,-0.505303,-1.93635
0.489323,-0.505303,-1.93635,0.437744,-0.476202,-1.86923
0.437744,-0.476202,-1.86923,0.373421,-0.359914,-1.76701
0.373421,-0.359914,-1.76701,0.310076,-0.122161,-1.68429
0.310076,-0.122161,-1.68429,0.186536,0.00843082,-1.52426
0.186536,0.00843082,-1.52426,0.177457,0.110087,-1.45106
0.177457,0.110087,-1.45106,0.25024,0.109932,-1.48103
0.25024,0.109932,-1.48103,0.261271,0.109744,-1.47782
0.261271,0.109744,-1.47782,0.267157,0.101972,-1.46248
0.267157,0.101972,-1.46248,0.275452,0.0981345,-1.47298
0.275452,0.0981345,-1.47298,0.274099,0.085538,-1.49195
0.274099,0.085538,-1.49195,0.272125,0.0545976,-1.54882
0.272125,0.0545976,-1.54882,0.273903,0.0121268,-1.59968
0.273903,0.0121268,-1.59968,0.285784,-0.087159,-1.68242
0.285784,-0.087159,-1.68242,0.363834,-0.207484,-1.80447
0.363834,-0.207484,-1.80447,0.409071,-0.321003,-1.89416
0.409071,-0.321003,-1.89416,0.412654,-0.410469,-1.92768
0.412654,-0.410469,-1.92768,0.423562,-0.483246,-1.95518
0.423562,-0.483246,-1.95518,0.470487,-0.560878,-2.0182
0.470487,-0.560878,-2.0182,0.545729,-0.628387,-2.11832
0.545729,-0.628387,-2.11832,0.601417,-0.671731,-2.20558
0.601417,-0.671731,-2.20558,0.644953,-0.697919,-2.26645
0.644953,-0.697919,-2.26645,0.684579,-0.703508,-2.29622
0.684579,-0.703508,-2.29622,0.735096,-0.689607,-2.30935
0.735096,-0.689607,-2.30935,0.813928,-0.646617,-2.33523
0.813928,-0.646617,-2.33523,0.937263,-0.555564,-2.38386
0.937263,-0.555564,-2.38386,1.03532,-0.464628,-2.42802
1.03532,-0.464628,-2.42802,1.149,-0.338465,-2.47192
1.149,-0.338465,-2.47192,1.23853,-0.232783,-2.50908
1.23853,-0.232783,-2.50908,1.30981,-0.162811,-2.51488
1.30981,-0.162811,-2.51488,1.38601,-0.0855816,-2.54145
1.38601,-0.0855816,-2.54145,1.47036,-0.0349894,-2.56167
1.47036,-0.0349894,-2.56167,1.54016,-0.00871355,-2.56369
1.54016,-0.00871355,-2.56369,1.62828,0.0214125,-2.55884
1.62828,0.0214125,-2.55884,1.69771,0.0569779,-2.54601
1.69771,0.0569779,-2.54601,1.75606,0.0842302,-2.5292
1.75606,0.0842302,-2.5292,1.77722,0.0823394,-2.51031
1.77722,0.0823394,-2.51031,1.78072,0.0878367,-2.50512
1.78072,0.0878367,-2.50512,1.7433,0.0712169,-2.49339
1.7433,0.0712169,-2.49339,1.63304,0.0193455,-2.46568
1.63304,0.0193455,-2.46568,1.45515,-0.031305,-2.39446
1.45515,-0.031305,-2.39446,1.29749,-0.132444,-2.27642
1.29749,-0.132444,-2.27642,1.18983,-0.193116,-2.1603
1.18983,-0.193116,-2.1603,1.09556,-0.252833,-2.06342
1.09556,-0.252833,-2.06342,1.00926,-0.307739,-2.03013
1.00926,-0.307739,-2.03013,0.925413,-0.365385,-1.99995
0.925413,-0.365385,-1.99995,0.779107,-0.440085,-1.91925
0.779107,-0.440085,-1.91925,0.659356,-0.489979,-1.85191
0.659356,-0.489979,-1.85191,0.538884,-0.52757,-1.8259
0.538884,-0.52757,-1.8259,0.425055,-0.548293,-1.80795
0.425055,-0.548293,-1.80795,0.287244,-0.568265,-1.75568
0.287244,-0.568265,-1.75568,0.129151,-0.566544,-1.66647
0.129151,-0.566544,-1.66647,0.018117,-0.576678,-1.61334
0.018117,-0.576678,-1.61334,-0.149873,-0.581268,-1.54016
-0.149873,-0.581268,-1.54016,-0.347363,-0.593045,-1.40819
-0.347363,-0.593045,-1.40819,-0.564535,-0.561024,-1.227
-0.564535,-0.561024,-1.227,-0.727636,-0.500369,-1.10613
-0.727636,-0.500369,-1.10613,-0.849363,-0.477229,-1.02818
-0.849363,-0.477229,-1.02818,-0.991744,-0.378995,-0.955677
-0.991744,-0.378995,-0.955677,-1.05959,-0.370257,-0.939349
-1.05959,-0.370257,-0.939349,-1.13202,-0.333288,-0.916976
-1.13202,-0.333288,-0.916976,-1.17386,-0.314607,-0.902446
-1.17386,-0.314607,-0.902446,-1.20507,-0.309738,-0.886725
-1.20507,-0.309738,-0.886725,-1.22711,-0.296516,-0.885783
-1.22711,-0.296516,-0.885783,-1.22678,-0.292698,-0.895039
-1.22678,-0.292698,-0.895039,-1.20833,-0.293605,-0.926623
-1.20833,-0.293605,-0.926623,-1.1826,-0.299302,-0.962389
-1.1826,-0.299302,-0.962389,-1.14641,-0.316545,-0.992156
-1.14641,-0.316545,-0.992156,-1.10978,-0.330088,-1.01502
-1.10978,-0.330088,-1.01502,-1.03439,-0.359807,-1.05202
-1.03439,-0.359807,-1.05202,-0.951821,-0.391486,-1.08793
-0.951821,-0.391486,-1.08793,-0.907071,-0.408446,-1.11885
-0.907071,-0.408446,-1.11885,-0.847743,-0.440631,-1.16788
-0.847743,-0.440631,-1.16788,-0.784791,-0.46442,-1.21324
-0.784791,-0.46442,-1.21324,-0.749271,-0.476307,-1.23943
-0.749271,-0.476307,-1.23943,-0.759258,-0.485168,-1.25834
-0.759258,-0.485168,-1.25834,-0.828043,-0.47861,-1.24059
-0.828043,-0.47861,-1.24059,-0.92963,-0.449116,-1.21099
-0.92963,-0.449116,-1.21099,-1.01771,-0.44613,-1.21603
-1.01771,-0.44613,-1.21603,-1.10859,-0.416301,-1.20397
-1.10859,-0.416301,-1.20397,-1.18154,-0.415055,-1.20443
-1.18154,-0.415055,-1.20443,-1.22957,-0.412244,-1.20622
-1.22957,-0.412244,-1.20622,-1.08977,-0.548545,-1.22065
-1.08977,-0.548545,-1.22065,-0.238303,-0.738884,-1.56825
-0.238303,-0.738884,-1.56825,1.11785,-0.172682,-2.16197
1.11785,-0.172682,-2.16197,1.7234,-0.220224,-1.96624
1.7234,-0.220224,-1.96624,1.945,-0.0399872,-2.15579
1.945,-0.0399872,-2.15579,1.97465,0.0606864,-2.19016
1.97465,0.0606864,-2.19016,1.98924,0.0320752,-2.14889
1.98924,0.0320752,-2.14889,1.95669,0.011366,-2.17525
1.95669,0.011366,-2.17525,1.77026,-0.0745485,-2.1863
1.77026,-0.0745485,-2.1863,1.4689,-0.193508,-2.18431
1.4689,-0.193508,-2.18431,1.19375,-0.321778,-2.10193
1.19375,-0.321778,-2.10193,0.993949,-0.434391,-1.98469
0.993949,-0.434391,-1.98469,0.868347,-0.494154,-1.92426
0.868347,-0.494154,-1.92426,0.741308,-0.517966,-1.88365
0.741308,-0.517966,-1.88365,0.606388,-0.541716,-1.86584
0.606388,-0.541716,-1.86584,0.514359,-0.545049,-1.8841
0.514359,-0.545049,-1.8841,0.438656,-0.563252,-1.89983
0.438656,-0.563252,-1.89983,0.395932,-0.581348,-1.9293
0.395932,-0.581348,-1.9293,0.336896,-0.593912,-1.93822
